Castle,BusinessDate,DayOfWeek,HourMinute,Product,ProductUOM,ForecastedAmountOZ,ForecastedSales
CHIC 42,1/23/2022,SUNDAY,6:00,FRENCH FRIES,OZ,0,13.5
CHIC 42,1/23/2022,SUNDAY,6:15,FRENCH FRIES,OZ,0,27.75
CHIC 42,1/23/2022,SUNDAY,6:30,FRENCH FRIES,OZ,0,26.13
CHIC 42,1/23/2022,SUNDAY,6:45,FRENCH FRIES,OZ,4.46,20.61
CHIC 42,1/23/2022,SUNDAY,7:00,FRENCH FRIES,OZ,0,21.4
CHIC 42,1/23/2022,SUNDAY,7:15,FRENCH FRIES,OZ,0,21.95
CHIC 42,1/23/2022,SUNDAY,7:30,FRENCH FRIES,OZ,0,25
CHIC 42,1/23/2022,SUNDAY,7:45,FRENCH FRIES,OZ,12.54,20.89
CHIC 42,1/23/2022,SUNDAY,8:00,FRENCH FRIES,OZ,12.54,28.44
CHIC 42,1/23/2022,SUNDAY,8:15,FRENCH FRIES,OZ,0,35.19
CHIC 42,1/23/2022,SUNDAY,8:30,FRENCH FRIES,OZ,8.92,34.28
CHIC 42,1/23/2022,SUNDAY,8:45,FRENCH FRIES,OZ,0,33.29
CHIC 42,1/23/2022,SUNDAY,9:00,FRENCH FRIES,OZ,12.98,34.2
CHIC 42,1/23/2022,SUNDAY,9:15,FRENCH FRIES,OZ,8.92,49.54
CHIC 42,1/23/2022,SUNDAY,9:30,FRENCH FRIES,OZ,0,53.23
CHIC 42,1/23/2022,SUNDAY,9:45,FRENCH FRIES,OZ,21.46,62.65
CHIC 42,1/23/2022,SUNDAY,10:00,FRENCH FRIES,OZ,17,58.58
CHIC 42,1/23/2022,SUNDAY,10:15,FRENCH FRIES,OZ,21.46,54.56
CHIC 42,1/23/2022,SUNDAY,10:30,FRENCH FRIES,OZ,4.46,57.09
CHIC 42,1/23/2022,SUNDAY,10:45,FRENCH FRIES,OZ,4.46,75.83
CHIC 42,1/23/2022,SUNDAY,11:00,FRENCH FRIES,OZ,30.82,70.49
CHIC 42,1/23/2022,SUNDAY,11:15,FRENCH FRIES,OZ,5,97.15
CHIC 42,1/23/2022,SUNDAY,11:30,FRENCH FRIES,OZ,29.54,115.3
CHIC 42,1/23/2022,SUNDAY,11:45,FRENCH FRIES,OZ,13.52,94.27
CHIC 42,1/23/2022,SUNDAY,12:00,FRENCH FRIES,OZ,0,128.11
CHIC 42,1/23/2022,SUNDAY,12:15,FRENCH FRIES,OZ,9.46,116.91
CHIC 42,1/23/2022,SUNDAY,12:30,FRENCH FRIES,OZ,31.22,145.37
CHIC 42,1/23/2022,SUNDAY,12:45,FRENCH FRIES,OZ,46.98,138.58
CHIC 42,1/23/2022,SUNDAY,13:00,FRENCH FRIES,OZ,22.3,127.64
CHIC 42,1/23/2022,SUNDAY,13:15,FRENCH FRIES,OZ,26.36,139.89
CHIC 42,1/23/2022,SUNDAY,13:30,FRENCH FRIES,OZ,13.38,145.49
CHIC 42,1/23/2022,SUNDAY,13:45,FRENCH FRIES,OZ,4.46,135.35
CHIC 42,1/23/2022,SUNDAY,14:00,FRENCH FRIES,OZ,12.98,139.58
CHIC 42,1/23/2022,SUNDAY,14:15,FRENCH FRIES,OZ,22.84,116.83
CHIC 42,1/23/2022,SUNDAY,14:30,FRENCH FRIES,OZ,21.9,127.99
CHIC 42,1/23/2022,SUNDAY,14:45,FRENCH FRIES,OZ,17.84,116.58
CHIC 42,1/23/2022,SUNDAY,15:00,FRENCH FRIES,OZ,13.38,91.19
CHIC 42,1/23/2022,SUNDAY,15:15,FRENCH FRIES,OZ,0,113.1
CHIC 42,1/23/2022,SUNDAY,15:30,FRENCH FRIES,OZ,34.44,97.75
CHIC 42,1/23/2022,SUNDAY,15:45,FRENCH FRIES,OZ,68,102.3
CHIC 42,1/23/2022,SUNDAY,16:00,FRENCH FRIES,OZ,8.92,103.85
CHIC 42,1/23/2022,SUNDAY,16:15,FRENCH FRIES,OZ,17.44,107.23
CHIC 42,1/23/2022,SUNDAY,16:30,FRENCH FRIES,OZ,55.46,94.9
CHIC 42,1/23/2022,SUNDAY,16:45,FRENCH FRIES,OZ,46.14,118.74
CHIC 42,1/23/2022,SUNDAY,17:00,FRENCH FRIES,OZ,43.9,92.2
CHIC 42,1/23/2022,SUNDAY,17:15,FRENCH FRIES,OZ,29.54,125.3
CHIC 42,1/23/2022,SUNDAY,17:30,FRENCH FRIES,OZ,85.14,95.93
CHIC 42,1/23/2022,SUNDAY,17:45,FRENCH FRIES,OZ,63.98,113.67
CHIC 42,1/23/2022,SUNDAY,18:00,FRENCH FRIES,OZ,51.84,110.35
CHIC 42,1/23/2022,SUNDAY,18:15,FRENCH FRIES,OZ,31.22,121.37
CHIC 42,1/23/2022,SUNDAY,18:30,FRENCH FRIES,OZ,37.62,130.38
CHIC 42,1/23/2022,SUNDAY,18:45,FRENCH FRIES,OZ,33.6,101.02
CHIC 42,1/23/2022,SUNDAY,19:00,FRENCH FRIES,OZ,47.02,130.76
CHIC 42,1/23/2022,SUNDAY,19:15,FRENCH FRIES,OZ,13.92,89.94
CHIC 42,1/23/2022,SUNDAY,19:30,FRENCH FRIES,OZ,12.54,91.04
CHIC 42,1/23/2022,SUNDAY,19:45,FRENCH FRIES,OZ,26.46,93.56
CHIC 42,1/23/2022,SUNDAY,20:00,FRENCH FRIES,OZ,43.36,54.95
CHIC 42,1/23/2022,SUNDAY,20:15,FRENCH FRIES,OZ,26.36,76.42
CHIC 42,1/23/2022,SUNDAY,20:30,FRENCH FRIES,OZ,0,99.94
CHIC 42,1/23/2022,SUNDAY,20:45,FRENCH FRIES,OZ,13.38,79.16
CHIC 42,1/23/2022,SUNDAY,21:00,FRENCH FRIES,OZ,29.54,73.14
CHIC 42,1/23/2022,SUNDAY,21:15,FRENCH FRIES,OZ,26.76,85.68
CHIC 42,1/23/2022,SUNDAY,21:30,FRENCH FRIES,OZ,42.52,64.01
CHIC 42,1/23/2022,SUNDAY,21:45,FRENCH FRIES,OZ,67.64,52.01
CHIC 42,1/23/2022,SUNDAY,22:00,FRENCH FRIES,OZ,30.38,78
CHIC 42,1/23/2022,SUNDAY,22:15,FRENCH FRIES,OZ,17.44,72.08
CHIC 42,1/23/2022,SUNDAY,22:30,FRENCH FRIES,OZ,42.52,92.38
CHIC 42,1/23/2022,SUNDAY,22:45,FRENCH FRIES,OZ,18.92,75.27
CHIC 42,1/23/2022,SUNDAY,23:00,FRENCH FRIES,OZ,21.46,67.95
CHIC 42,1/23/2022,SUNDAY,23:15,FRENCH FRIES,OZ,34.84,86.67
CHIC 42,1/23/2022,SUNDAY,23:30,FRENCH FRIES,OZ,0,92.98
CHIC 42,1/23/2022,SUNDAY,23:45,FRENCH FRIES,OZ,13.38,84.74
CHIC 42,1/23/2022,SUNDAY,0:00,FRENCH FRIES,OZ,59.52,66.33
CHIC 42,1/23/2022,SUNDAY,0:15,FRENCH FRIES,OZ,17.44,61.93
CHIC 42,1/23/2022,SUNDAY,0:30,FRENCH FRIES,OZ,25.92,78.21
CHIC 42,1/23/2022,SUNDAY,0:45,FRENCH FRIES,OZ,0,79.56
CHIC 42,1/23/2022,SUNDAY,1:00,FRENCH FRIES,OZ,12.54,61.86
CHIC 42,1/23/2022,SUNDAY,1:15,FRENCH FRIES,OZ,18.38,72.41
CHIC 42,1/23/2022,SUNDAY,1:30,FRENCH FRIES,OZ,17.44,58.64
CHIC 42,1/23/2022,SUNDAY,1:45,FRENCH FRIES,OZ,0,43.41
CHIC 42,1/23/2022,SUNDAY,2:00,FRENCH FRIES,OZ,0,36.49
CHIC 42,1/23/2022,SUNDAY,2:15,FRENCH FRIES,OZ,8.92,33.96
CHIC 42,1/23/2022,SUNDAY,2:30,FRENCH FRIES,OZ,8.52,33.81
CHIC 42,1/23/2022,SUNDAY,2:45,FRENCH FRIES,OZ,0,25.83
CHIC 42,1/23/2022,SUNDAY,3:00,FRENCH FRIES,OZ,4.46,39.32
CHIC 42,1/23/2022,SUNDAY,3:15,FRENCH FRIES,OZ,8.92,28.3
CHIC 42,1/23/2022,SUNDAY,3:30,FRENCH FRIES,OZ,0,29.07
CHIC 42,1/23/2022,SUNDAY,3:45,FRENCH FRIES,OZ,0,17.37
CHIC 42,1/23/2022,SUNDAY,4:00,FRENCH FRIES,OZ,0,26.63
CHIC 42,1/23/2022,SUNDAY,4:15,FRENCH FRIES,OZ,0,10.08
CHIC 42,1/23/2022,SUNDAY,4:30,FRENCH FRIES,OZ,4.46,17.7
CHIC 42,1/23/2022,SUNDAY,4:45,FRENCH FRIES,OZ,0,23.4
CHIC 42,1/23/2022,SUNDAY,5:00,FRENCH FRIES,OZ,0,20.75
CHIC 42,1/23/2022,SUNDAY,5:15,FRENCH FRIES,OZ,0,18.11
CHIC 42,1/23/2022,SUNDAY,5:30,FRENCH FRIES,OZ,0,17.2
CHIC 42,1/23/2022,SUNDAY,5:45,FRENCH FRIES,OZ,0,21.02
CHIC 42,1/24/2022,MONDAY,6:00,FRENCH FRIES,OZ,0,11.07
CHIC 42,1/24/2022,MONDAY,6:15,FRENCH FRIES,OZ,17.44,23.57
CHIC 42,1/24/2022,MONDAY,6:30,FRENCH FRIES,OZ,0,26.73
CHIC 42,1/24/2022,MONDAY,6:45,FRENCH FRIES,OZ,0,24
CHIC 42,1/24/2022,MONDAY,7:00,FRENCH FRIES,OZ,0,24.24
CHIC 42,1/24/2022,MONDAY,7:15,FRENCH FRIES,OZ,0,29.06
CHIC 42,1/24/2022,MONDAY,7:30,FRENCH FRIES,OZ,0,39.29
CHIC 42,1/24/2022,MONDAY,7:45,FRENCH FRIES,OZ,0,35.33
CHIC 42,1/24/2022,MONDAY,8:00,FRENCH FRIES,OZ,0,33.6
CHIC 42,1/24/2022,MONDAY,8:15,FRENCH FRIES,OZ,12.98,30.03
CHIC 42,1/24/2022,MONDAY,8:30,FRENCH FRIES,OZ,26.76,40.75
CHIC 42,1/24/2022,MONDAY,8:45,FRENCH FRIES,OZ,4.46,37.06
CHIC 42,1/24/2022,MONDAY,9:00,FRENCH FRIES,OZ,21.06,34.84
CHIC 42,1/24/2022,MONDAY,9:15,FRENCH FRIES,OZ,17,40.76
CHIC 42,1/24/2022,MONDAY,9:30,FRENCH FRIES,OZ,4.46,46.37
CHIC 42,1/24/2022,MONDAY,9:45,FRENCH FRIES,OZ,4.46,39.33
CHIC 42,1/24/2022,MONDAY,10:00,FRENCH FRIES,OZ,0,73.5
CHIC 42,1/24/2022,MONDAY,10:15,FRENCH FRIES,OZ,35.38,77.66
CHIC 42,1/24/2022,MONDAY,10:30,FRENCH FRIES,OZ,12.98,73.67
CHIC 42,1/24/2022,MONDAY,10:45,FRENCH FRIES,OZ,22,90.48
CHIC 42,1/24/2022,MONDAY,11:00,FRENCH FRIES,OZ,30.82,105.68
CHIC 42,1/24/2022,MONDAY,11:15,FRENCH FRIES,OZ,25.92,115.74
CHIC 42,1/24/2022,MONDAY,11:30,FRENCH FRIES,OZ,31.22,123.43
CHIC 42,1/24/2022,MONDAY,11:45,FRENCH FRIES,OZ,102,112.25
CHIC 42,1/24/2022,MONDAY,12:00,FRENCH FRIES,OZ,57.14,141.97
CHIC 42,1/24/2022,MONDAY,12:15,FRENCH FRIES,OZ,47.86,152.85
CHIC 42,1/24/2022,MONDAY,12:30,FRENCH FRIES,OZ,60.36,163.86
CHIC 42,1/24/2022,MONDAY,12:45,FRENCH FRIES,OZ,34.44,140.71
CHIC 42,1/24/2022,MONDAY,13:00,FRENCH FRIES,OZ,21.46,123.52
CHIC 42,1/24/2022,MONDAY,13:15,FRENCH FRIES,OZ,13.38,125.18
CHIC 42,1/24/2022,MONDAY,13:30,FRENCH FRIES,OZ,43.76,102.92
CHIC 42,1/24/2022,MONDAY,13:45,FRENCH FRIES,OZ,26.76,140.03
CHIC 42,1/24/2022,MONDAY,14:00,FRENCH FRIES,OZ,22.3,109.54
CHIC 42,1/24/2022,MONDAY,14:15,FRENCH FRIES,OZ,8.92,117.95
CHIC 42,1/24/2022,MONDAY,14:30,FRENCH FRIES,OZ,22.3,100.89
CHIC 42,1/24/2022,MONDAY,14:45,FRENCH FRIES,OZ,39.74,107.6
CHIC 42,1/24/2022,MONDAY,15:00,FRENCH FRIES,OZ,31.76,114.88
CHIC 42,1/24/2022,MONDAY,15:15,FRENCH FRIES,OZ,8.92,104.47
CHIC 42,1/24/2022,MONDAY,15:30,FRENCH FRIES,OZ,43.6,96.82
CHIC 42,1/24/2022,MONDAY,15:45,FRENCH FRIES,OZ,60.36,92.48
CHIC 42,1/24/2022,MONDAY,16:00,FRENCH FRIES,OZ,43.76,108.67
CHIC 42,1/24/2022,MONDAY,16:15,FRENCH FRIES,OZ,22.3,99.95
CHIC 42,1/24/2022,MONDAY,16:30,FRENCH FRIES,OZ,8.92,90.66
CHIC 42,1/24/2022,MONDAY,16:45,FRENCH FRIES,OZ,17.44,99.1
CHIC 42,1/24/2022,MONDAY,17:00,FRENCH FRIES,OZ,12.54,112.02
CHIC 42,1/24/2022,MONDAY,17:15,FRENCH FRIES,OZ,25.08,110.94
CHIC 42,1/24/2022,MONDAY,17:30,FRENCH FRIES,OZ,12.54,95.22
CHIC 42,1/24/2022,MONDAY,17:45,FRENCH FRIES,OZ,48.22,138.53
CHIC 42,1/24/2022,MONDAY,18:00,FRENCH FRIES,OZ,38.46,109.99
CHIC 42,1/24/2022,MONDAY,18:15,FRENCH FRIES,OZ,34.88,88.6
CHIC 42,1/24/2022,MONDAY,18:30,FRENCH FRIES,OZ,31.22,94.08
CHIC 42,1/24/2022,MONDAY,18:45,FRENCH FRIES,OZ,25.92,80.01
